# company: ACME S.p.A.
# currency: EUR
scenario,date,kpi,value
Sim_00005,2027-12-31,revenue,656394.54
Sim_00005,2027-12-31,ebitda,162052.42
Sim_00005,2027-12-31,net_income,1730495.23
Sim_00005,2028-12-31,revenue,1148834.92
Sim_00005,2028-12-31,ebitda,527382.43
Sim_00005,2028-12-31,net_income,1161057.19
Sim_00006,2025-12-31,revenue,1096181.04
Sim_00006,2025-12-31,ebitda,172676.9
Sim_00006,2025-12-31,net_income,1524807.43
Sim_00006,2026-12-31,revenue,1925566.41
Sim_00006,2026-12-31,ebitda,645798.72
Sim_00006,2026-12-31,net_income,1712483.82
Sim_00006,2027-12-31,revenue,518621.04
Sim_00006,2027-12-31,ebitda,977743.36
Sim_00006,2027-12-31,net_income,870948.24
Sim_00006,2028-12-31,revenue,1661647.42
Sim_00006,2028-12-31,ebitda,893526.98
Sim_00006,2028-12-31,net_income,951129.39
Sim_00007,2025-12-31,revenue,1527275.47
Sim_00007,2025-12-31,ebitda,1513393.9
Sim_00007,2025-12-31,net_income,1812598.87
Sim_00007,2026-12-31,revenue,1065511.35
Sim_00007,2026-12-31,ebitda,926484.04
Sim_00007,2026-12-31,net_income,703572.95
Sim_00007,2027-12-31,revenue,476304.04
Sim_00007,2027-12-31,ebitda,1601092.5
Sim_00007,2027-12-31,net_income,1687817.49
Sim_00007,2028-12-31,revenue,606282.32
Sim_00007,2028-12-31,ebitda,447662.8
Sim_00007,2028-12-31,net_income,1818597.64
Sim_00008,2025-12-31,revenue,959213.37
Sim_00008,2025-12-31,ebitda,523309.91
Sim_00008,2025-12-31,net_income,1654409.73
Sim_00008,2026-12-31,revenue,1082388.72
Sim_00008,2026-12-31,ebitda,681888.48
Sim_00008,2026-12-31,net_income,1805491.22
Sim_00008,2027-12-31,revenue,1739976.96
Sim_00008,2027-12-31,ebitda,1571045.59
Sim_00008,2027-12-31,net_income,232901.93
Sim_00008,2028-12-31,revenue,985623.54
Sim_00008,2028-12-31,ebitda,1099786.83
Sim_00008,2028-12-31,net_income,692666.58
Sim_00009,2025-12-31,revenue,1166288.22
Sim_00009,2025-12-31,ebitda,602961.18
Sim_00009,2025-12-31,net_income,1737507.13
Sim_00009,2026-12-31,revenue,1559701.22
Sim_00009,2026-12-31,ebitda,1883363.73
Sim_00009,2026-12-31,net_income,961736.16
Sim_00009,2027-12-31,revenue,910734.29
Sim_00009,2027-12-31,ebitda,740230.58
Sim_00009,2027-12-31,net_income,739038.71
Sim_00009,2028-12-31,revenue,1770805.38
Sim_00009,2028-12-31,ebitda,235754.88
Sim_00009,2028-12-31,net_income,1828920.26
Sim_00010,2025-12-31,revenue,330636.97
Sim_00010,2025-12-31,ebitda,1773134.03
Sim_00010,2025-12-31,net_income,741131.38
Sim_00010,2026-12-31,revenue,1310147.85
Sim_00010,2026-12-31,ebitda,1066453.18
Sim_00010,2026-12-31,net_income,1260947.62
Sim_00010,2027-12-31,revenue,1103634.78
Sim_00010,2027-12-31,ebitda,1250295.88
Sim_00010,2027-12-31,net_income,1453656.74
Sim_00010,2028-12-31,revenue,1816674.31
Sim_00010,2028-12-31,ebitda,1188266.0
Sim_00010,2028-12-31,net_income,1079621.47
Sim_00011,2025-12-31,revenue,1821470.98
Sim_00011,2025-12-31,ebitda,744747.16
Sim_00011,2025-12-31,net_income,768650.11
Sim_00011,2026-12-31,revenue,1715967.97
Sim_00011,2026-12-31,ebitda,279425.64
Sim_00011,2026-12-31,net_income,1133210.13
Sim_00011,2027-12-31,revenue,978707.04
Sim_00011,2027-12-31,ebitda,284500.46
Sim_00011,2027-12-31,net_income,1882260.99
Sim_00011,2028-12-31,revenue,789535.68
Sim_00011,2028-12-31,ebitda,1755763.54
Sim_00011,2028-12-31,net_income,382656.11
Sim_00012,2025-12-31,revenue,1284459.63
Sim_00012,2025-12-31,ebitda,781804.19
Sim_00012,2025-12-31,net_income,1419146.62
Sim_00012,2026-12-31,revenue,1520748.49
Sim_00012,2026-12-31,ebitda,114218.4
Sim_00012,2026-12-31,net_income,254074.73
Sim_00012,2027-12-31,revenue,1287042.31
Sim_00012,2027-12-31,ebitda,211996.29
Sim_00012,2027-12-31,net_income,1524379.99
Sim_00012,2028-12-31,revenue,116797.39
Sim_00012,2028-12-31,ebitda,730624.3
Sim_00012,2028-12-31,net_income,1775548.89
Sim_00013,2025-12-31,revenue,1078793.22
Sim_00013,2025-12-31,ebitda,1246844.04
Sim_00013,2025-12-31,net_income,931399.5
Sim_00013,2026-12-31,revenue,1328042.85
Sim_00013,2026-12-31,ebitda,1051587.64
Sim_00013,2026-12-31,net_income,948037.27
Sim_00013,2027-12-31,revenue,1846526.95
Sim_00013,2027-12-31,ebitda,1997380.94
Sim_00013,2027-12-31,net_income,1442197.51
Sim_00013,2028-12-31,revenue,990145.82
Sim_00013,2028-12-31,ebitda,293149.81
Sim_00013,2028-12-31,net_income,1682987.75
Sim_00014,2025-12-31,revenue,1650816.18
Sim_00014,2025-12-31,ebitda,637637.89
Sim_00014,2025-12-31,net_income,1879167.27
Sim_00014,2026-12-31,revenue,1179545.78
Sim_00014,2026-12-31,ebitda,898989.73
Sim_00014,2026-12-31,net_income,1788592.9
Sim_00014,2027-12-31,revenue,642069.6
Sim_00014,2027-12-31,ebitda,1083986.63
Sim_00014,2027-12-31,net_income,881677.28
Sim_00014,2028-12-31,revenue,727373.48
Sim_00014,2028-12-31,ebitda,870568.75
Sim_00014,2028-12-31,net_income,800117.31
Sim_00015,2025-12-31,revenue,1566871.38
Sim_00015,2025-12-31,ebitda,423737.4
Sim_00015,2025-12-31,net_income,772771.73
Sim_00015,2026-12-31,revenue,563956.5
Sim_00015,2026-12-31,ebitda,666826.02
Sim_00015,2026-12-31,net_income,322790.08
Sim_00015,2027-12-31,revenue,527660.62
Sim_00015,2027-12-31,ebitda,318871.49
Sim_00015,2027-12-31,net_income,643207.83
Sim_00015,2028-12-31,revenue,1169452.56
Sim_00015,2028-12-31,ebitda,637619.95
Sim_00015,2028-12-31,net_income,1012037.13
Sim_00016,2025-12-31,revenue,1145989.1
Sim_00016,2025-12-31,ebitda,1417337.27
Sim_00016,2025-12-31,net_income,1497514.63
Sim_00016,2026-12-31,revenue,1258303.42
Sim_00016,2026-12-31,ebitda,1697414.76
Sim_00016,2026-12-31,net_income,1689088.57
Sim_00016,2027-12-31,revenue,625890.78
Sim_00016,2027-12-31,ebitda,1345818.96
Sim_00016,2027-12-31,net_income,794787.47
Sim_00016,2028-12-31,revenue,244956.17
Sim_00016,2028-12-31,ebitda,1234797.9
Sim_00016,2028-12-31,net_income,1840130.71
Sim_00017,2025-12-31,revenue,1677902.21
Sim_00017,2025-12-31,ebitda,1077562.63
Sim_00017,2025-12-31,net_income,897914.72
Sim_00017,2026-12-31,revenue,1403203.03
Sim_00017,2026-12-31,ebitda,751654.11
Sim_00017,2026-12-31,net_income,433979.25
Sim_00017,2027-12-31,revenue,1486940.04
Sim_00017,2027-12-31,ebitda,188565.46
Sim_00017,2027-12-31,net_income,542654.67
Sim_00017,2028-12-31,revenue,839409.0
Sim_00017,2028-12-31,ebitda,639456.55
Sim_00017,2028-12-31,net_income,1270715.95
Sim_00018,2025-12-31,revenue,152123.94
Sim_00018,2025-12-31,ebitda,288509.91
Sim_00018,2025-12-31,net_income,972008.29
Sim_00018,2026-12-31,revenue,904367.81
Sim_00018,2026-12-31,ebitda,1534463.58
Sim_00018,2026-12-31,net_income,1661892.06
Sim_00018,2027-12-31,revenue,488884.62
Sim_00018,2027-12-31,ebitda,318012.63
Sim_00018,2027-12-31,net_income,1586109.7
Sim_00018,2028-12-31,revenue,1431892.38
Sim_00018,2028-12-31,ebitda,758951.33
Sim_00018,2028-12-31,net_income,369947.68
Sim_00019,2025-12-31,revenue,1793366.1
Sim_00019,2025-12-31,ebitda,978187.01
Sim_00019,2025-12-31,net_income,1994315.19
Sim_00019,2026-12-31,revenue,260061.33
Sim_00019,2026-12-31,ebitda,1386738.52
Sim_00019,2026-12-31,net_income,674880.23
Sim_00019,2027-12-31,revenue,95937.16
Sim_00019,2027-12-31,ebitda,1046475.52
Sim_00019,2027-12-31,net_income,271400.43
Sim_00019,2028-12-31,revenue,108933.53
Sim_00019,2028-12-31,ebitda,794753.36
Sim_00019,2028-12-31,net_income,890461.05
Sim_00020,2025-12-31,revenue,418833.36
Sim_00020,2025-12-31,ebitda,1100445.73
Sim_00020,2025-12-31,net_income,279834.16
Sim_00020,2026-12-31,revenue,1586921.51
Sim_00020,2026-12-31,ebitda,1690522.48
Sim_00020,2026-12-31,net_income,1580543.37
Sim_00020,2027-12-31,revenue,1846994.64
Sim_00020,2027-12-31,ebitda,879466.63
Sim_00020,2027-12-31,net_income,427648.9
Sim_00020,2028-12-31,revenue,573531.07
Sim_00020,2028-12-31,ebitda,334965.5
Sim_00020,2028-12-31,net_income,831497.66
Sim_00021,2025-12-31,revenue,1008774.98
Sim_00021,2025-12-31,ebitda,596759.4
Sim_00021,2025-12-31,net_income,911146.87
Sim_00021,2026-12-31,revenue,1033461.3
Sim_00021,2026-12-31,ebitda,349896.3
Sim_00021,2026-12-31,net_income,223198.94
Sim_00021,2027-12-31,revenue,203806.97
Sim_00021,2027-12-31,ebitda,157417.2
Sim_00021,2027-12-31,net_income,812469.06
Sim_00021,2028-12-31,revenue,191872.91
Sim_00021,2028-12-31,ebitda,1913171.89
Sim_00021,2028-12-31,net_income,1510390.73
Sim_00022,2025-12-31,revenue,453434.18
Sim_00022,2025-12-31,ebitda,1290964.92
Sim_00022,2025-12-31,net_income,1973767.23
Sim_00022,2026-12-31,revenue,543820.4
Sim_00022,2026-12-31,ebitda,1913731.09
Sim_00022,2026-12-31,net_income,220128.77
Sim_00022,2027-12-31,revenue,102012.17
Sim_00022,2027-12-31,ebitda,752815.85
Sim_00022,2027-12-31,net_income,880946.35
Sim_00022,2028-12-31,revenue,1928836.12
Sim_00022,2028-12-31,ebitda,305748.94
Sim_00022,2028-12-31,net_income,1370495.35
Sim_00023,2025-12-31,revenue,1698045.65
Sim_00023,2025-12-31,ebitda,646565.14
Sim_00023,2025-12-31,net_income,1451659.9
Sim_00023,2026-12-31,revenue,1215852.43
Sim_00023,2026-12-31,ebitda,885722.67
Sim_00023,2026-12-31,net_income,1674673.67
Sim_00023,2027-12-31,revenue,1704920.47
Sim_00023,2027-12-31,ebitda,1510132.73
Sim_00023,2027-12-31,net_income,964603.07
Sim_00023,2028-12-31,revenue,1836018.86
Sim_00023,2028-12-31,ebitda,1574741.35
Sim_00023,2028-12-31,net_income,1288515.25
Sim_00024,2025-12-31,revenue,1499564.71
Sim_00024,2025-12-31,ebitda,141845.45
Sim_00024,2025-12-31,net_income,945630.98
Sim_00024,2026-12-31,revenue,680491.64
Sim_00024,2026-12-31,ebitda,1856575.81
Sim_00024,2026-12-31,net_income,602114.15
Sim_00024,2027-12-31,revenue,623767.66
Sim_00024,2027-12-31,ebitda,588927.18
Sim_00024,2027-12-31,net_income,420672.74
Sim_00024,2028-12-31,revenue,1489836.32
Sim_00024,2028-12-31,ebitda,1963936.48
Sim_00024,2028-12-31,net_income,668971.48
Sim_00025,2025-12-31,revenue,278390.52
Sim_00025,2025-12-31,ebitda,1362522.18
Sim_00025,2025-12-31,net_income,575402.13
Sim_00025,2026-12-31,revenue,1495865.73
Sim_00025,2026-12-31,ebitda,949987.37
Sim_00025,2026-12-31,net_income,147285.18
Sim_00025,2027-12-31,revenue,229237.96
Sim_00025,2027-12-31,ebitda,1712058.79
Sim_00025,2027-12-31,net_income,1654882.08
Sim_00025,2028-12-31,revenue,636775.25
Sim_00025,2028-12-31,ebitda,1334414.51
Sim_00025,2028-12-31,net_income,1686769.45
Sim_00026,2025-12-31,revenue,1432646.74
Sim_00026,2025-12-31,ebitda,398104.23
Sim_00026,2025-12-31,net_income,1932282.09
Sim_00026,2026-12-31,revenue,1777167.85
Sim_00026,2026-12-31,ebitda,1541780.0
Sim_00026,2026-12-31,net_income,1004304.26
Sim_00026,2027-12-31,revenue,1265510.58
Sim_00026,2027-12-31,ebitda,1574391.34
Sim_00026,2027-12-31,net_income,1190464.15
Sim_00026,2028-12-31,revenue,326573.8
Sim_00026,2028-12-31,ebitda,550917.28
Sim_00026,2028-12-31,net_income,1400127.86
Sim_00027,2025-12-31,revenue,1877537.43
Sim_00027,2025-12-31,ebitda,996858.52
Sim_00027,2025-12-31,net_income,1964652.43
Sim_00027,2026-12-31,revenue,1154909.63
Sim_00027,2026-12-31,ebitda,428034.68
Sim_00027,2026-12-31,net_income,784463.02
Sim_00027,2027-12-31,revenue,1811104.37
Sim_00027,2027-12-31,ebitda,471044.67
Sim_00027,2027-12-31,net_income,259865.35
Sim_00027,2028-12-31,revenue,124056.42
Sim_00027,2028-12-31,ebitda,1466840.86
Sim_00027,2028-12-31,net_income,1063228.01
Sim_00028,2025-12-31,revenue,773243.63
Sim_00028,2025-12-31,ebitda,297609.96
Sim_00028,2025-12-31,net_income,1316542.21
Sim_00028,2026-12-31,revenue,1396619.93
Sim_00028,2026-12-31,ebitda,1415295.22
Sim_00028,2026-12-31,net_income,1297421.73
Sim_00028,2027-12-31,revenue,1526020.32
Sim_00028,2027-12-31,ebitda,717976.18
Sim_00028,2027-12-31,net_income,360632.06
Sim_00028,2028-12-31,revenue,1531587.27
Sim_00028,2028-12-31,ebitda,1558230.93
Sim_00028,2028-12-31,net_income,1009086.36
Sim_00029,2025-12-31,revenue,1860715.69
Sim_00029,2025-12-31,ebitda,767687.99
Sim_00029,2025-12-31,net_income,926788.95
Sim_00029,2026-12-31,revenue,160898.85
Sim_00029,2026-12-31,ebitda,696093.53
Sim_00029,2026-12-31,net_income,1598658.63
Sim_00029,2027-12-31,revenue,1533753.74
Sim_00029,2027-12-31,ebitda,1938774.32
Sim_00029,2027-12-31,net_income,1743915.05
Sim_00029,2028-12-31,revenue,180211.11
Sim_00029,2028-12-31,ebitda,312119.97
Sim_00029,2028-12-31,net_income,1743959.1
Sim_00030,2025-12-31,revenue,104170.89
Sim_00030,2025-12-31,ebitda,1094567.09
Sim_00030,2025-12-31,net_income,708434.99
Sim_00030,2026-12-31,revenue,1920655.76
Sim_00030,2026-12-31,ebitda,1622063.28
Sim_00030,2026-12-31,net_income,1594900.93
Sim_00030,2027-12-31,revenue,1285765.17
Sim_00030,2027-12-31,ebitda,268984.24
Sim_00030,2027-12-31,net_income,537035.22
Sim_00030,2028-12-31,revenue,687449.89
Sim_00030,2028-12-31,ebitda,1099710.72
Sim_00030,2028-12-31,net_income,244896.24
Sim_00031,2025-12-31,revenue,536638.7
Sim_00031,2025-12-31,ebitda,1616782.84
Sim_00031,2025-12-31,net_income,775815.33
Sim_00031,2026-12-31,revenue,158248.54
Sim_00031,2026-12-31,ebitda,1195033.13
Sim_00031,2026-12-31,net_income,411465.49
Sim_00031,2027-12-31,revenue,938438.29
Sim_00031,2027-12-31,ebitda,803533.61
Sim_00031,2027-12-31,net_income,1783485.54
Sim_00031,2028-12-31,revenue,538468.1
Sim_00031,2028-12-31,ebitda,1643149.98
Sim_00031,2028-12-31,net_income,559686.78
Sim_00032,2025-12-31,revenue,900692.96
Sim_00032,2025-12-31,ebitda,980479.75
Sim_00032,2025-12-31,net_income,1832805.49
Sim_00032,2026-12-31,revenue,1524921.43
Sim_00032,2026-12-31,ebitda,901864.67
Sim_00032,2026-12-31,net_income,1529946.17
Sim_00032,2027-12-31,revenue,1795883.73
Sim_00032,2027-12-31,ebitda,1682600.73
Sim_00032,2027-12-31,net_income,420218.04
Sim_00032,2028-12-31,revenue,1517813.92
Sim_00032,2028-12-31,ebitda,327005.35
Sim_00032,2028-12-31,net_income,1834833.86
Sim_00033,2025-12-31,revenue,523864.37
Sim_00033,2025-12-31,ebitda,313213.53
Sim_00033,2025-12-31,net_income,668112.87
Sim_00033,2026-12-31,revenue,772794.2
Sim_00033,2026-12-31,ebitda,934068.87
Sim_00033,2026-12-31,net_income,264683.07
Sim_00033,2027-12-31,revenue,1268465.55
Sim_00033,2027-12-31,ebitda,1768685.79
Sim_00033,2027-12-31,net_income,1940755.14
Sim_00033,2028-12-31,revenue,825617.27
Sim_00033,2028-12-31,ebitda,1267867.45
Sim_00033,2028-12-31,net_income,278422.02
Sim_00034,2025-12-31,revenue,652376.39
Sim_00034,2025-12-31,ebitda,895154.09
Sim_00034,2025-12-31,net_income,309446.22
Sim_00034,2026-12-31,revenue,1749781.35
Sim_00034,2026-12-31,ebitda,569438.93
Sim_00034,2026-12-31,net_income,491986.31
Sim_00034,2027-12-31,revenue,465828.67
Sim_00034,2027-12-31,ebitda,535048.28
Sim_00034,2027-12-31,net_income,594026.12
Sim_00034,2028-12-31,revenue,261156.38
Sim_00034,2028-12-31,ebitda,1875545.95
Sim_00034,2028-12-31,net_income,1068338.57
Sim_00035,2025-12-31,revenue,1636792.73
Sim_00035,2025-12-31,ebitda,196325.04
Sim_00035,2025-12-31,net_income,1939879.76
Sim_00035,2026-12-31,revenue,871680.7
Sim_00035,2026-12-31,ebitda,1448496.58
Sim_00035,2026-12-31,net_income,866215.39
Sim_00035,2027-12-31,revenue,1992372.07
Sim_00035,2027-12-31,ebitda,151108.83
Sim_00035,2027-12-31,net_income,510327.62
Sim_00035,2028-12-31,revenue,726053.9
Sim_00035,2028-12-31,ebitda,841900.55
Sim_00035,2028-12-31,net_income,1252631.3
Sim_00036,2025-12-31,revenue,1693512.9
Sim_00036,2025-12-31,ebitda,1744827.22
Sim_00036,2025-12-31,net_income,1549152.91
Sim_00036,2026-12-31,revenue,1091525.2
Sim_00036,2026-12-31,ebitda,940190.37
Sim_00036,2026-12-31,net_income,575064.79
Sim_00036,2027-12-31,revenue,1732724.32
Sim_00036,2027-12-31,ebitda,652429.82
Sim_00036,2027-12-31,net_income,721837.85
Sim_00036,2028-12-31,revenue,634885.6
Sim_00036,2028-12-31,ebitda,1233798.71
Sim_00036,2028-12-31,net_income,279388.64
Sim_00037,2025-12-31,revenue,697495.76
Sim_00037,2025-12-31,ebitda,97157.25
Sim_00037,2025-12-31,net_income,1669427.67
Sim_00037,2026-12-31,revenue,120529.72
Sim_00037,2026-12-31,ebitda,1280672.95
Sim_00037,2026-12-31,net_income,1612840.55
Sim_00037,2027-12-31,revenue,970619.19
Sim_00037,2027-12-31,ebitda,1611220.11
Sim_00037,2027-12-31,net_income,1478724.07
Sim_00037,2028-12-31,revenue,1360728.37
Sim_00037,2028-12-31,ebitda,1914835.62
Sim_00037,2028-12-31,net_income,967255.15
Sim_00038,2025-12-31,revenue,462396.5
Sim_00038,2025-12-31,ebitda,1437592.14
Sim_00038,2025-12-31,net_income,1046461.05
Sim_00038,2026-12-31,revenue,1974604.49
Sim_00038,2026-12-31,ebitda,770905.39
Sim_00038,2026-12-31,net_income,773948.73
Sim_00038,2027-12-31,revenue,1624509.57
Sim_00038,2027-12-31,ebitda,478059.28
Sim_00038,2027-12-31,net_income,308230.74
Sim_00038,2028-12-31,revenue,609301.33
Sim_00038,2028-12-31,ebitda,206429.34
Sim_00038,2028-12-31,net_income,715913.78
Sim_00039,2025-12-31,revenue,1418117.69
Sim_00039,2025-12-31,ebitda,1999455.11
Sim_00039,2025-12-31,net_income,1202564.03
Sim_00039,2026-12-31,revenue,1632505.19
Sim_00039,2026-12-31,ebitda,238395.19
Sim_00039,2026-12-31,net_income,906086.81
Sim_00039,2027-12-31,revenue,1749749.87
Sim_00039,2027-12-31,ebitda,1629034.94
Sim_00039,2027-12-31,net_income,84692.46
Sim_00039,2028-12-31,revenue,888932.35
Sim_00039,2028-12-31,ebitda,900677.6
Sim_00039,2028-12-31,net_income,486257.84
Sim_00040,2025-12-31,revenue,1091205.85
Sim_00040,2025-12-31,ebitda,952077.8
Sim_00040,2025-12-31,net_income,1116451.8
Sim_00040,2026-12-31,revenue,871198.94
Sim_00040,2026-12-31,ebitda,1200953.68
Sim_00040,2026-12-31,net_income,1738204.35
Sim_00040,2027-12-31,revenue,354182.47
Sim_00040,2027-12-31,ebitda,1383129.9
Sim_00040,2027-12-31,net_income,89501.57
Sim_00040,2028-12-31,revenue,764134.08
Sim_00040,2028-12-31,ebitda,828751.7
Sim_00040,2028-12-31,net_income,922868.55
Sim_00041,2025-12-31,revenue,815061.41
Sim_00041,2025-12-31,ebitda,953619.81
Sim_00041,2025-12-31,net_income,781518.38
Sim_00041,2026-12-31,revenue,1296920.29
Sim_00041,2026-12-31,ebitda,111581.21
Sim_00041,2026-12-31,net_income,773885.15
Sim_00041,2027-12-31,revenue,1633813.9
Sim_00041,2027-12-31,ebitda,1842024.36
Sim_00041,2027-12-31,net_income,1927984.78
Sim_00041,2028-12-31,revenue,676413.67
Sim_00041,2028-12-31,ebitda,231734.48
Sim_00041,2028-12-31,net_income,328419.53
Sim_00042,2025-12-31,revenue,1116645.77
Sim_00042,2025-12-31,ebitda,1105226.41
Sim_00042,2025-12-31,net_income,861834.25
Sim_00042,2026-12-31,revenue,1800395.81
Sim_00042,2026-12-31,ebitda,1490497.01
Sim_00042,2026-12-31,net_income,1234230.72
Sim_00042,2027-12-31,revenue,266544.85
Sim_00042,2027-12-31,ebitda,614428.76
Sim_00042,2027-12-31,net_income,1643988.14
Sim_00042,2028-12-31,revenue,1142150.24
Sim_00042,2028-12-31,ebitda,454378.82
Sim_00042,2028-12-31,net_income,1077622.38
Sim_00043,2025-12-31,revenue,1013182.22
Sim_00043,2025-12-31,ebitda,627338.44
Sim_00043,2025-12-31,net_income,361188.76
Sim_00043,2026-12-31,revenue,376880.31
Sim_00043,2026-12-31,ebitda,907542.03
Sim_00043,2026-12-31,net_income,1790806.03
Sim_00043,2027-12-31,revenue,313970.94
Sim_00043,2027-12-31,ebitda,1625401.41
Sim_00043,2027-12-31,net_income,923037.14
Sim_00043,2028-12-31,revenue,788409.02
Sim_00043,2028-12-31,ebitda,1487679.4
Sim_00043,2028-12-31,net_income,802961.52
Sim_00044,2025-12-31,revenue,1596649.24
Sim_00044,2025-12-31,ebitda,199234.15
Sim_00044,2025-12-31,net_income,1075594.99
Sim_00044,2026-12-31,revenue,929630.65
Sim_00044,2026-12-31,ebitda,1945628.0
Sim_00044,2026-12-31,net_income,1432886.15
Sim_00044,2027-12-31,revenue,104939.48
Sim_00044,2027-12-31,ebitda,378934.89
Sim_00044,2027-12-31,net_income,1058110.56
Sim_00044,2028-12-31,revenue,352952.04
Sim_00044,2028-12-31,ebitda,1767349.46
Sim_00044,2028-12-31,net_income,1987499.84
Sim_00045,2025-12-31,revenue,450220.82
Sim_00045,2025-12-31,ebitda,1437247.78
Sim_00045,2025-12-31,net_income,346837.45
Sim_00045,2026-12-31,revenue,1551179.17
Sim_00045,2026-12-31,ebitda,352144.53
Sim_00045,2026-12-31,net_income,876382.59
Sim_00045,2027-12-31,revenue,637362.06
Sim_00045,2027-12-31,ebitda,1551739.33
Sim_00045,2027-12-31,net_income,517480.15
Sim_00045,2028-12-31,revenue,987482.04
Sim_00045,2028-12-31,ebitda,770272.53
Sim_00045,2028-12-31,net_income,1311876.9
Sim_00046,2025-12-31,revenue,1174381.94
Sim_00046,2025-12-31,ebitda,933142.74
Sim_00046,2025-12-31,net_income,1219018.34
Sim_00046,2026-12-31,revenue,765200.8
Sim_00046,2026-12-31,ebitda,889981.71
Sim_00046,2026-12-31,net_income,1588437.54
Sim_00046,2027-12-31,revenue,544749.57
Sim_00046,2027-12-31,ebitda,1039919.65
Sim_00046,2027-12-31,net_income,1535504.82
Sim_00046,2028-12-31,revenue,121612.45
Sim_00046,2028-12-31,ebitda,1419309.18
Sim_00046,2028-12-31,net_income,967485.2
Sim_00047,2025-12-31,revenue,1499594.1
Sim_00047,2025-12-31,ebitda,1188184.61
Sim_00047,2025-12-31,net_income,425459.26
Sim_00047,2026-12-31,revenue,1221157.56
Sim_00047,2026-12-31,ebitda,1518694.86
Sim_00047,2026-12-31,net_income,1285234.71
Sim_00047,2027-12-31,revenue,730628.03
Sim_00047,2027-12-31,ebitda,1237449.28
Sim_00047,2027-12-31,net_income,1040986.87
Sim_00047,2028-12-31,revenue,1742558.83
Sim_00047,2028-12-31,ebitda,1186028.96
Sim_00047,2028-12-31,net_income,1346931.75
Sim_00048,2025-12-31,revenue,1060285.29
Sim_00048,2025-12-31,ebitda,1306826.62
Sim_00048,2025-12-31,net_income,948293.27
Sim_00048,2026-12-31,revenue,175595.82
Sim_00048,2026-12-31,ebitda,1965608.72
Sim_00048,2026-12-31,net_income,720555.95
Sim_00048,2027-12-31,revenue,103575.04
Sim_00048,2027-12-31,ebitda,810802.43
Sim_00048,2027-12-31,net_income,506129.86
Sim_00048,2028-12-31,revenue,1785881.07
Sim_00048,2028-12-31,ebitda,1636932.29
Sim_00048,2028-12-31,net_income,868125.02
Sim_00049,2025-12-31,revenue,498941.81
Sim_00049,2025-12-31,ebitda,716489.36
Sim_00049,2025-12-31,net_income,572766.26
Sim_00049,2026-12-31,revenue,1484517.03
Sim_00049,2026-12-31,ebitda,834442.05
Sim_00049,2026-12-31,net_income,1180728.64
Sim_00049,2027-12-31,revenue,314699.38
Sim_00049,2027-12-31,ebitda,678370.91
Sim_00049,2027-12-31,net_income,1522825.55
Sim_00049,2028-12-31,revenue,1801549.04
Sim_00049,2028-12-31,ebitda,1022380.8
Sim_00049,2028-12-31,net_income,1218903.06
Sim_00050,2025-12-31,revenue,1298702.01
Sim_00050,2025-12-31,ebitda,495777.36
Sim_00050,2025-12-31,net_income,1783023.23
