run,variable,2025-01-01,2025-01-31,2025-02-01,2025-02-28,2025-03-01,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,2026-08-31,2026-09-30,2026-10-31,2026-11-30,2026-12-31
16,Price,,9.5,,10.0,,9.8,10.0,9.5,11.0,10.0,10.0,12.3,10.0,9.5,9.0,10.0,10.0,9.0,10.0,9.5,9.8,11.5,11.0,9.8,10.0,12.0,9.8
16,DSO,45.0,,90.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
17,Quantity,,80.0,,95.0,,90.0,110.0,70.0,75.0,80.0,95.0,90.0,100.0,130.0,90.0,80.0,95.0,90.0,120.0,80.0,100.0,80.0,80.0,140.0,100.0,95.0,90.0
17,Price,,11.5,,10.0,,9.8,9.5,12.0,12.3,11.5,10.0,9.8,10.0,9.0,9.8,11.5,10.0,9.8,9.2,11.0,9.0,11.5,11.0,8.8,10.0,10.0,9.8
17,DSO,45.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
18,Quantity,,110.0,,125.0,,100.0,100.0,125.0,90.0,100.0,95.0,90.0,120.0,95.0,140.0,110.0,95.0,80.0,100.0,130.0,75.0,120.0,95.0,75.0,80.0,70.0,90.0
18,Price,,9.5,,9.5,,9.0,10.0,9.5,9.8,10.0,10.0,9.8,9.2,10.0,8.8,9.5,10.0,11.0,10.0,9.0,12.3,9.2,10.0,12.3,11.5,12.0,9.8
18,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
19,Quantity,,100.0,,70.0,,90.0,100.0,95.0,100.0,120.0,125.0,100.0,90.0,95.0,90.0,100.0,125.0,140.0,80.0,95.0,90.0,100.0,95.0,90.0,110.0,95.0,140.0
19,Price,,10.0,,12.0,,9.8,10.0,10.0,9.0,9.2,9.5,9.0,10.5,10.0,9.8,10.0,9.5,8.8,11.5,10.0,9.8,10.0,10.0,9.8,9.5,10.0,8.8
19,DSO,60.0,,45.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
20,Quantity,,100.0,,95.0,,75.0,90.0,95.0,90.0,100.0,80.0,75.0,100.0,70.0,75.0,100.0,70.0,90.0,100.0,95.0,90.0,100.0,125.0,90.0,100.0,125.0,75.0
20,Price,,10.0,,10.0,,12.3,10.5,10.0,9.8,10.0,11.0,12.3,10.0,12.0,12.3,10.0,12.0,9.8,10.0,10.0,9.8,10.0,9.5,9.8,10.0,9.5,12.3
20,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
21,Quantity,,100.0,,95.0,,90.0,100.0,95.0,140.0,100.0,125.0,80.0,80.0,95.0,80.0,100.0,70.0,90.0,90.0,70.0,100.0,80.0,95.0,90.0,100.0,95.0,100.0
21,Price,,10.0,,10.0,,9.8,10.0,10.0,8.8,10.0,9.5,11.0,11.5,10.0,11.0,10.0,12.0,9.8,10.5,12.0,9.0,11.5,10.0,9.8,10.0,10.0,9.0
21,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
22,Quantity,,100.0,,80.0,,140.0,80.0,95.0,90.0,90.0,70.0,100.0,100.0,125.0,90.0,100.0,130.0,100.0,100.0,125.0,75.0,110.0,130.0,90.0,120.0,130.0,75.0
22,Price,,10.0,,11.0,,8.8,11.5,10.0,9.8,10.5,12.0,9.0,10.0,9.5,9.8,10.0,9.0,9.0,10.0,9.5,12.3,9.5,9.0,9.8,9.2,9.0,12.3
22,DSO,90.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
23,Quantity,,80.0,,125.0,,90.0,120.0,80.0,80.0,100.0,95.0,90.0,100.0,80.0,100.0,110.0,95.0,75.0,110.0,95.0,90.0,100.0,70.0,75.0,80.0,95.0,90.0
23,Price,,11.5,,9.5,,9.8,9.2,11.0,11.0,10.0,10.0,9.8,10.0,11.0,9.0,9.5,10.0,12.3,9.5,10.0,9.8,10.0,12.0,12.3,11.5,10.0,9.8
23,DSO,60.0,,90.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
24,Quantity,,120.0,,95.0,,80.0,100.0,130.0,90.0,110.0,95.0,90.0,110.0,95.0,90.0,90.0,95.0,90.0,100.0,95.0,90.0,100.0,95.0,100.0,100.0,80.0,90.0
24,Price,,9.2,,10.0,,11.0,10.0,9.0,9.8,9.5,10.0,9.8,9.5,10.0,9.8,10.5,10.0,9.8,10.0,10.0,9.8,10.0,10.0,9.0,10.0,11.0,9.8
24,DSO,60.0,,45.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
25,Quantity,,100.0,,80.0,,75.0,100.0,95.0,140.0,100.0,95.0,90.0,100.0,80.0,90.0,100.0,125.0,90.0,90.0,95.0,140.0,110.0,70.0,90.0,120.0,95.0,90.0
25,Price,,10.0,,11.0,,12.3,10.0,10.0,8.8,10.0,10.0,9.8,10.0,11.0,9.8,10.0,9.5,9.8,10.5,10.0,8.8,9.5,12.0,9.8,9.2,10.0,9.8
25,DSO,60.0,,90.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
26,Quantity,,100.0,,95.0,,90.0,80.0,95.0,90.0,120.0,95.0,90.0,80.0,95.0,75.0,100.0,80.0,140.0,100.0,95.0,75.0,80.0,95.0,90.0,100.0,70.0,90.0
26,Price,,10.0,,10.0,,9.8,11.5,10.0,9.8,9.2,10.0,9.8,11.5,10.0,12.3,10.0,11.0,8.8,10.0,10.0,12.3,11.5,10.0,9.8,10.0,12.0,9.8
26,DSO,60.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
27,Quantity,,90.0,,95.0,,100.0,110.0,80.0,80.0,100.0,70.0,100.0,110.0,95.0,90.0,120.0,95.0,75.0,110.0,70.0,90.0,100.0,95.0,75.0,100.0,95.0,80.0
27,Price,,10.5,,10.0,,9.0,9.5,11.0,11.0,10.0,12.0,9.0,9.5,10.0,9.8,9.2,10.0,12.3,9.5,12.0,9.8,10.0,10.0,12.3,10.0,10.0,11.0
27,DSO,90.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
28,Quantity,,110.0,,130.0,,90.0,100.0,130.0,90.0,80.0,130.0,75.0,100.0,125.0,140.0,90.0,95.0,90.0,100.0,130.0,90.0,100.0,130.0,100.0,80.0,125.0,140.0
28,Price,,9.5,,9.0,,9.8,10.0,9.0,9.8,11.5,9.0,12.3,10.0,9.5,8.8,10.5,10.0,9.8,10.0,9.0,9.8,10.0,9.0,9.0,11.5,9.5,8.8
28,DSO,60.0,,60.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
29,Quantity,,80.0,,125.0,,80.0,110.0,70.0,75.0,110.0,80.0,80.0,110.0,95.0,100.0,80.0,95.0,90.0,120.0,95.0,100.0,120.0,95.0,140.0,90.0,95.0,75.0
29,Price,,11.5,,9.5,,11.0,9.5,12.0,12.3,9.5,11.0,11.0,9.5,10.0,9.0,11.5,10.0,9.8,9.2,10.0,9.0,9.2,10.0,8.8,10.5,10.0,12.3
29,DSO,60.0,,45.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
30,Quantity,,110.0,,95.0,,90.0,100.0,125.0,90.0,100.0,125.0,140.0,100.0,70.0,90.0,110.0,95.0,75.0,100.0,95.0,80.0,90.0,125.0,80.0,100.0,130.0,100.0
30,Price,,9.5,,10.0,,9.8,10.0,9.5,9.8,10.0,9.5,8.8,10.0,12.0,9.8,9.5,10.0,12.3,10.0,10.0,11.0,10.5,9.5,11.0,10.0,9.0,9.0
30,DSO,90.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
31,Quantity,,100.0,,95.0,,140.0,100.0,95.0,100.0,90.0,95.0,90.0,100.0,130.0,80.0,100.0,70.0,100.0,80.0,70.0,90.0,100.0,80.0,90.0,100.0,95.0,90.0
31,Price,,10.0,,10.0,,8.8,10.0,10.0,9.0,10.5,10.0,9.8,10.0,9.0,11.0,10.0,12.0,9.0,11.5,12.0,9.8,10.0,11.0,9.8,10.0,10.0,9.8
31,DSO,60.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
32,Quantity,,100.0,,70.0,,90.0,80.0,95.0,90.0,100.0,95.0,90.0,90.0,95.0,90.0,100.0,130.0,90.0,100.0,125.0,90.0,100.0,95.0,90.0,110.0,80.0,90.0
32,Price,,10.0,,12.0,,9.8,11.5,10.0,9.8,10.0,10.0,9.8,10.5,10.0,9.8,10.0,9.0,9.8,10.0,9.5,9.8,10.0,10.0,9.8,9.5,11.0,9.8
32,DSO,45.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
33,Quantity,,80.0,,95.0,,90.0,100.0,95.0,90.0,80.0,70.0,90.0,100.0,95.0,100.0,80.0,130.0,75.0,100.0,130.0,90.0,100.0,130.0,90.0,80.0,95.0,90.0
33,Price,,11.5,,10.0,,9.8,10.0,10.0,9.8,11.5,12.0,9.8,10.0,10.0,9.0,11.5,9.0,12.3,10.0,9.0,9.8,10.0,9.0,9.8,11.5,10.0,9.8
33,DSO,45.0,,90.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
34,Quantity,,120.0,,125.0,,100.0,90.0,95.0,75.0,100.0,130.0,90.0,90.0,70.0,90.0,110.0,70.0,90.0,110.0,80.0,90.0,100.0,95.0,90.0,100.0,70.0,90.0
34,Price,,9.2,,9.5,,9.0,10.5,10.0,12.3,10.0,9.0,9.8,10.5,12.0,9.8,9.5,12.0,9.8,9.5,11.0,9.8,10.0,10.0,9.8,10.0,12.0,9.8
34,DSO,60.0,,45.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
35,Quantity,,100.0,,80.0,,90.0,110.0,130.0,90.0,110.0,95.0,75.0,120.0,130.0,80.0,100.0,95.0,90.0,100.0,95.0,75.0,110.0,95.0,100.0,100.0,95.0,140.0
35,Price,,10.0,,11.0,,9.8,9.5,9.0,9.8,9.5,10.0,12.3,9.2,9.0,11.0,10.0,10.0,9.8,10.0,10.0,12.3,9.5,10.0,9.0,10.0,10.0,8.8
35,DSO,90.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
36,Quantity,,100.0,,95.0,,75.0,100.0,80.0,100.0,100.0,95.0,100.0,100.0,95.0,90.0,100.0,95.0,140.0,90.0,95.0,140.0,90.0,70.0,80.0,110.0,125.0,80.0
36,Price,,10.0,,10.0,,12.3,10.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,9.8,10.0,10.0,8.8,10.5,10.0,8.8,10.5,12.0,11.0,9.5,9.5,11.0
36,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
37,Quantity,,100.0,,95.0,,90.0,120.0,125.0,90.0,100.0,95.0,140.0,110.0,80.0,90.0,100.0,95.0,100.0,100.0,125.0,90.0,100.0,95.0,75.0,110.0,95.0,100.0
37,Price,,10.0,,10.0,,9.8,9.2,9.5,9.8,10.0,10.0,8.8,9.5,11.0,9.8,10.0,10.0,9.0,10.0,9.5,9.8,10.0,10.0,12.3,9.5,10.0,9.0
37,DSO,60.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
38,Quantity,,100.0,,70.0,,140.0,100.0,70.0,100.0,80.0,95.0,75.0,100.0,95.0,75.0,100.0,95.0,90.0,80.0,70.0,90.0,100.0,80.0,100.0,100.0,130.0,75.0
38,Price,,10.0,,12.0,,8.8,10.0,12.0,9.0,11.5,10.0,12.3,10.0,10.0,12.3,10.0,10.0,9.8,11.5,12.0,9.8,10.0,11.0,9.0,10.0,9.0,12.3
38,DSO,90.0,,90.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
39,Quantity,,90.0,,125.0,,90.0,100.0,95.0,90.0,100.0,70.0,90.0,100.0,95.0,90.0,120.0,70.0,90.0,100.0,95.0,80.0,110.0,125.0,90.0,100.0,95.0,90.0
39,Price,,10.5,,9.5,,9.8,10.0,10.0,9.8,10.0,12.0,9.8,10.0,10.0,9.8,9.2,12.0,9.8,10.0,10.0,11.0,9.5,9.5,9.8,10.0,10.0,9.8
39,DSO,60.0,,60.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
40,Quantity,,110.0,,95.0,,80.0,80.0,95.0,80.0,120.0,125.0,90.0,80.0,125.0,140.0,80.0,125.0,75.0,120.0,95.0,100.0,80.0,95.0,90.0,80.0,80.0,90.0
40,Price,,9.5,,10.0,,11.0,11.5,10.0,11.0,9.2,9.5,9.8,11.5,9.5,8.8,11.5,9.5,12.3,9.2,10.0,9.0,11.5,10.0,9.8,11.5,11.0,9.8
40,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
41,Quantity,,100.0,,70.0,,75.0,110.0,125.0,90.0,100.0,125.0,90.0,100.0,95.0,80.0,100.0,95.0,140.0,100.0,95.0,90.0,100.0,125.0,75.0,100.0,95.0,90.0
41,Price,,10.0,,12.0,,12.3,9.5,9.5,9.8,10.0,9.5,9.8,10.0,10.0,11.0,10.0,10.0,8.8,10.0,10.0,9.8,10.0,9.5,12.3,10.0,10.0,9.8
41,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
42,Quantity,,100.0,,95.0,,90.0,100.0,70.0,140.0,110.0,80.0,90.0,110.0,125.0,90.0,100.0,95.0,90.0,80.0,95.0,90.0,100.0,95.0,100.0,110.0,70.0,90.0
42,Price,,10.0,,10.0,,9.8,10.0,12.0,8.8,9.5,11.0,9.8,9.5,9.5,9.8,10.0,10.0,9.8,11.5,10.0,9.8,10.0,10.0,9.0,9.5,12.0,9.8
42,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
43,Quantity,,80.0,,95.0,,100.0,100.0,95.0,90.0,100.0,95.0,75.0,80.0,80.0,100.0,110.0,130.0,90.0,100.0,125.0,80.0,80.0,95.0,90.0,90.0,95.0,80.0
43,Price,,11.5,,10.0,,9.0,10.0,10.0,9.8,10.0,10.0,12.3,11.5,11.0,9.0,9.5,9.0,9.8,10.0,9.5,11.0,11.5,10.0,9.8,10.5,10.0,11.0
43,DSO,90.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
44,Quantity,,120.0,,125.0,,90.0,80.0,95.0,80.0,90.0,95.0,100.0,100.0,95.0,90.0,90.0,70.0,80.0,120.0,80.0,100.0,110.0,80.0,90.0,100.0,125.0,140.0
44,Price,,9.2,,9.5,,9.8,11.5,10.0,11.0,10.5,10.0,9.0,10.0,10.0,9.8,10.5,12.0,11.0,9.2,11.0,9.0,9.5,11.0,9.8,10.0,9.5,8.8
44,DSO,60.0,,90.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
45,Quantity,,90.0,,130.0,,80.0,100.0,95.0,90.0,120.0,95.0,140.0,80.0,130.0,90.0,80.0,80.0,75.0,100.0,95.0,90.0,100.0,95.0,90.0,100.0,95.0,75.0
45,Price,,10.5,,9.0,,11.0,10.0,10.0,9.8,9.2,10.0,8.8,11.5,9.0,9.8,11.5,11.0,12.3,10.0,10.0,9.8,10.0,10.0,9.8,10.0,10.0,12.3
45,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
46,Quantity,,110.0,,95.0,,90.0,80.0,95.0,75.0,100.0,95.0,80.0,100.0,95.0,140.0,110.0,125.0,90.0,110.0,95.0,90.0,100.0,70.0,90.0,80.0,130.0,100.0
46,Price,,9.5,,10.0,,9.8,11.5,10.0,12.3,10.0,10.0,11.0,10.0,10.0,8.8,9.5,9.5,9.8,9.5,10.0,9.8,10.0,12.0,9.8,11.5,9.0,9.0
46,DSO,90.0,,60.0,,45.0,,,,,,,,,,,,,,,,,,,,,,
47,Quantity,,100.0,,95.0,,140.0,110.0,125.0,90.0,80.0,130.0,90.0,100.0,95.0,90.0,100.0,95.0,90.0,100.0,125.0,75.0,90.0,130.0,140.0,120.0,95.0,90.0
47,Price,,10.0,,10.0,,8.8,9.5,9.5,9.8,11.5,9.0,9.8,10.0,10.0,9.8,10.0,10.0,9.8,10.0,9.5,12.3,10.5,9.0,8.8,9.2,10.0,9.8
47,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
48,Quantity,,100.0,,80.0,,90.0,100.0,70.0,100.0,100.0,70.0,90.0,120.0,70.0,75.0,100.0,95.0,100.0,90.0,70.0,140.0,120.0,95.0,80.0,100.0,80.0,90.0
48,Price,,10.0,,11.0,,9.8,10.0,12.0,9.0,10.0,12.0,9.8,9.2,12.0,12.3,10.0,10.0,9.0,10.5,12.0,8.8,9.2,10.0,11.0,10.0,11.0,9.8
48,DSO,45.0,,45.0,,90.0,,,,,,,,,,,,,,,,,,,,,,
49,Quantity,,100.0,,125.0,,90.0,90.0,130.0,140.0,80.0,70.0,140.0,80.0,80.0,90.0,80.0,95.0,90.0,100.0,130.0,90.0,110.0,95.0,90.0,100.0,95.0,90.0
49,Price,,10.0,,9.5,,9.8,10.5,9.0,8.8,11.5,12.0,8.8,11.5,11.0,9.8,11.5,10.0,9.8,10.0,9.0,9.8,9.5,10.0,9.8,10.0,10.0,9.8
49,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
50,Quantity,,100.0,,95.0,,80.0,100.0,80.0,90.0,100.0,125.0,80.0,100.0,95.0,80.0,110.0,95.0,80.0,90.0,80.0,90.0,80.0,130.0,90.0,80.0,70.0,90.0
50,Price,,10.0,,10.0,,11.0,10.0,11.0,9.8,10.0,9.5,11.0,10.0,10.0,11.0,9.5,10.0,11.0,10.5,11.0,9.8,11.5,9.0,9.8,11.5,12.0,9.8
50,DSO,60.0,,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
51,Quantity,,90.0,,95.0,,90.0,100.0,95.0,80.0,120.0,95.0,90.0,100.0,95.0,90.0,100.0,130.0,100.0,100.0,95.0,100.0,100.0,70.0,75.0,120.0,95.0,100.0
51,Price,,10.5,,10.0,,9.8,10.0,10.0,11.0,9.2,10.0,9.8,10.0,10.0,9.8,10.0,9.0,9.0,10.0,10.0,9.0,10.0,12.0,12.3,9.2,10.0,9.0
51,DSO,60.0,,90.0,,60.0,,,,,,,,,,,,,,,,,,,,,,
